id,slug,name,country,region,timezone,lat,lng,population
taiyuan,taiyuan,Taiyuan,CN,Shanxi,Asia/Shanghai,37.87,112.56,4303673
zhengzhou,zhengzhou,Zhengzhou,CN,,Asia/Shanghai,34.76,113.65,4253913
bamako,bamako,Bamako,ML,,Africa/Bamako,12.61,-7.98,4227569
riyadh,riyadh,Riyadh,SA,,Asia/Riyadh,24.69,46.72,4205961
newtaipeicity,newtaipeicity,New Taipei City,TW,,Asia/Taipei,25.06,121.46,4004367
newterritories,newterritories,New Territories,HK,,Asia/Hong_Kong,22.42,114.11,3984077
shijiazhuang,shijiazhuang,Shijiazhuang,CN,Hebei,Asia/Shanghai,38.04,114.48,3938513
chattogram,chattogram,Chattogram,BD,,Asia/Dhaka,22.34,91.83,3920222
addisababa,addisababa,Addis Ababa,ET,,Africa/Addis_Ababa,9.02,38.75,3860000
kunming,kunming,Kunming,CN,,Asia/Shanghai,25.04,102.72,3855346
zhongshan,zhongshan,Zhongshan,CN,Guangdong,Asia/Shanghai,22.52,113.38,3841873
nanning,nanning,Nanning,CN,,Asia/Shanghai,22.82,108.32,3839800
shantou,shantou,Shantou,CN,,Asia/Shanghai,23.35,116.68,3838900
la,losangeles,Los Angeles,US,,America/Los_Angeles,34.05,-118.24,3820914
faisalabad,faisalabad,Faisalabad,PK,,Asia/Karachi,31.42,73.09,3800193
dxb,dubai,Dubai,AE,,Asia/Dubai,25.08,55.31,3790000
yokohama,yokohama,Yokohama,JP,Kanagawa,Asia/Tokyo,35.43,139.65,3777491
fuzhou,fuzhou,Fuzhou,CN,Fujian,Asia/Shanghai,26.06,119.31,3740000
ningbo,ningbo,Ningbo,CN,,Asia/Shanghai,29.88,121.55,3731203
casablanca,casablanca,Casablanca,MA,,Africa/Casablanca,33.59,-7.61,3665954
ibadan,ibadan,Ibadan,NG,,Africa/Lagos,7.38,3.91,3649000
puyang,puyang,Puyang,CN,Zhejiang,Asia/Shanghai,29.46,119.89,3590000
ankara,ankara,Ankara,TR,,Europe/Istanbul,39.92,32.85,3517182
shiyan,shiyan,Shiyan,CN,Hubei,Asia/Shanghai,32.65,110.78,3460000
ber,berlin,Berlin,DE,,Europe/Berlin,52.52,13.41,3426354
tangshan,tangshan,Tangshan,CN,Hebei,Asia/Shanghai,39.64,118.18,3372102
rawalpindi,rawalpindi,Rawalpindi,PK,,Asia/Karachi,33.6,73.05,3357612
lueliang,lueliang,Lüliang,CN,,Asia/Shanghai,37.52,111.14,3346500
durban,durban,Durban,ZA,,Africa/Johannesburg,-29.86,31.03,3338026
changzhou,changzhou,Changzhou,CN,Jiangsu,Asia/Shanghai,31.77,119.95,3290918
busan,busan,Busan,KR,,Asia/Seoul,35.1,129.03,3285147
mad,madrid,Madrid,ES,,Europe/Madrid,40.42,-3.7,3255944
pyongyang,pyongyang,Pyongyang,KP,,Asia/Pyongyang,39.03,125.75,3222000
zibo,zibo,Zibo,CN,,Asia/Shanghai,36.79,118.06,3129228
pune,pune,Pune,IN,,Asia/Kolkata,18.52,73.86,3124458
bursa,bursa,Bursa,TR,,Europe/Istanbul,40.2,29.06,3101833
changsha,changsha,Changsha,CN,Hunan,Asia/Shanghai,28.2,112.97,3093980
quezoncity,quezoncity,Quezon City,PH,,Asia/Manila,14.65,121.05,3084270
jaipur,jaipur,Jaipur,IN,,Asia/Kolkata,26.92,75.79,3046163
guiyang,guiyang,Guiyang,CN,Guizhou,Asia/Shanghai,26.58,106.72,3037159
